,Value,Txn Fee
0,0.019968107,0.00148784
1,0.0,0.00368645
2,0.0,0.00452821
3,0.0,0.00330232
4,0.0,0.00445936
5,0.0,0.00330318
6,0.0,0.00371855
7,0.00889639,0.00150882
8,0.0,0.00217497
9,0.0,0.0041032
10,0.0,0.00335898
11,0.01737507,0.00152982
12,0.32547199,0.00152982
13,0.0,0.0046047
14,0.00954271,0.00152982
15,0.0,0.00447828
16,0.007281321,0.00148784
17,0.0,0.00327722
18,0.0,0.00412019
19,0.1256375,0.01104441
20,0.1256375,0.01347002
21,0.112,0.00148784
22,0.04,0.00148784
23,0.011995946,0.00148784
24,0.3,0.00148784
25,0.0,0.00169699
26,0.277834272,0.00148784
27,0.0,0.00334326
28,0.048915917,0.00148784
29,0.0,0.00329777
30,0.0,0.00330018
31,0.0,0.00307048
32,0.05431896,0.00148784
33,0.0,0.00407103
34,0.0,0.12805877
35,0.01964792,0.00148784
36,0.078752559,0.00148784
37,0.0,0.00348396
38,0.0,0.00413911
39,0.0,0.00329069
40,0.0,0.00384671
41,0.0,0.00326681
42,0.24,0.00929577
43,0.0,0.00835241
44,0.0,0.01251023
45,0.007334981,0.00732771
46,0.0,0.00153007
47,0.0,0.0032959
48,0.0,0.00328506
49,0.15,0.00148796
50,0.00224032,0.00148796
51,0.0,0.00373372
52,0.13225,0.01081842
53,0.304176,0.0090532
54,0.1256375,0.01346856
55,5.056926,0.01863683
56,0.09,0.01333294
57,0.1256375,0.01347111
58,0.03,0.0095888
59,0.21,0.00988398
60,0.0,0.00904944
61,0.0,0.0175509
62,0.01,0.00603709
63,0.0,0.00424778
64,0.08,0.00148796
66,0.53,0.00148796
67,0.05,0.00148796
69,0.0,0.00327968
70,0.011734851,0.00148829
71,0.00404,0.00148829
72,0.021971359,0.00148829
73,0.25,0.00355737
74,0.0,0.00252124
75,0.31,0.01000601
76,0.2,0.01013216
77,0.105,0.0093608
78,0.0,0.00327906
79,0.1256375,0.01104775
80,0.1,0.00148829
81,0.029495617,0.00148829
82,2.557,0.00148829
83,0.015,0.0039269
84,1.50765,0.01500328
85,0.251275,0.01363547
86,0.05,0.00148829
87,0.0,0.01586904
88,0.251275,0.01363891
89,0.0,0.01725958
90,0.13225,0.01082089
91,3.1786392,0.01686557
92,0.04,0.00148887
93,0.1486,0.00148971
94,0.09194791,0.00150882
95,0.02934406,0.00150882
96,0.05576467,0.00150882
97,0.643722562,0.00150882
98,0.35300566,0.00150882
99,0.01790049,0.00150882
100,0.01,0.00151932
101,0.026,0.00152982
102,0.187,0.00152982
103,0.040937959,0.00152982
104,0.1,0.00152982
105,0.0221,0.00152982
106,0.0342,0.00152982
107,0.01328111,0.00152982
108,0.001113942,0.00152982
109,0.4201,0.00152982
110,0.01749246,0.00152982
111,0.011930282,0.00152984
112,0.033265466,0.00155082
113,0.103014283,0.00158751
114,0.152,0.00161382
115,0.00129438,0.00164117
116,0.050156965,0.00164117
117,0.0,0.003298
118,0.0,0.00333047
119,0.0,0.00448375
120,0.0,0.00332246
121,0.0,0.00651882
122,0.0,0.00249211
123,0.0,0.00328297
124,0.0,0.01102788
125,0.0,0.00446022
126,0.2,0.01117924
127,0.0,0.04666875
128,0.0,0.00455104
129,0.0,0.00469389
130,0.0,0.00457136
131,0.11672426,0.00151932
132,0.0,0.00251255
133,0.0,0.00311938
134,0.0,0.00218597
135,0.0,0.00237895
136,0.0,0.00271959
137,0.0,0.00217176
138,0.0,0.00215676
139,0.0,0.00216426
140,0.0,0.00220994
141,0.0,0.00253404
142,0.0,0.00323354
143,0.0,0.00300931
146,0.0,0.00271034
148,0.0,0.00236153
150,0.0,0.00300843
152,0.0,0.00250956
157,0.0,0.00301018
158,0.0,0.00453475
159,0.0,0.00252528
160,0.0,0.0035926
161,0.0,0.01068604
162,0.0,0.00344327
163,0.0,0.00404982
164,0.35,0.00997801
165,0.015,0.01107101
166,0.0,0.01359432
167,0.0,0.01068057
168,0.0,0.01367894
169,0.0,0.012702
170,0.9,0.01015627
171,0.0,0.00965191
172,0.0,0.00303236
173,0.0,0.00248266
174,0.0,0.01422368
175,0.0,0.00536453
176,0.0,0.00548655
177,0.0,0.00577844
178,0.3785,0.0020378
179,0.0,0.00613254
180,0.12173,0.0020378
181,0.025042239,0.01574872
182,0.15841114,0.00478176
183,0.0,0.01960314
184,0.0,0.00558907
185,0.01173597,0.00132293
186,0.0,0.00297117
187,0.0,0.0039812
188,0.001496336,0.00132293
189,0.0,0.00308035
190,0.0,0.00326845
191,0.0,0.00290395
193,0.0,0.00605329
194,0.069,0.00580187
195,0.0,0.00149062
196,0.023445215,0.00652765
197,0.3,0.00920432
198,0.0,0.00292953
199,0.115,0.00638679
200,0.0685,0.01068134
201,0.09,0.00715289
202,0.0,0.00309647
203,0.1444836,0.01026184
204,0.020719709,0.00791251
205,0.092420763,0.00803321
206,0.02347194,0.00842971
207,0.0,0.00297344
208,1.0,0.01066332
209,0.0,0.00992935
210,0.014653259,0.0088957
211,0.363400845,0.01150023
212,0.0,0.00136047
213,0.095425582,0.00695004
214,0.026332859,0.00132293
215,0.0,0.00297407
216,0.251275,0.01212346
217,0.0,0.00590506
218,0.0,0.03306526
219,0.0,0.00460809
220,0.0,0.02642033
221,0.0,0.02346078
222,0.0,0.00320302
223,0.0,0.00293238
224,0.73,0.00132304
225,0.014672782,0.00132304
226,0.1,0.00132304
227,0.073,0.00132304
228,0.007957362,0.00132304
229,0.2015,0.00132304
230,0.0,0.00291619
231,0.0,0.0029887
232,0.191055447,0.00132304
233,0.00293,0.00132304
234,0.06,0.00132304
235,0.0,0.00350104
236,1.95,0.00132304
237,0.025085178,0.00132304
238,0.04,0.00132304
239,0.0,0.00291934
240,0.01700487,0.00132304
241,0.0,0.00290346
242,0.0,0.00202004
243,0.015,0.00132304
244,0.02,0.00381945
245,0.234688758,0.00132304
246,0.030461643,0.00132304
247,0.249179868,0.00132304
248,0.0,0.00338278
249,0.0,0.00387785
250,0.0,0.0019285
252,0.0,0.00337988
253,0.0,0.00293068
254,0.142,0.00132304
255,0.733098727,0.00132304
256,0.067365791,0.00132304
257,0.0,0.00291316
258,0.12,0.00132304
259,0.123392486,0.00132304
260,0.052747112,0.00132304
261,0.225940956,0.00132304
262,0.13225,0.00746546
263,0.0,0.00537322
264,0.0,0.0032685
265,0.0,0.0031292
266,0.0,0.00284594
267,0.0,0.00398231
268,1.19025,0.01061778
269,0.13225,0.00961939
270,2.0227704,0.01186611
271,0.251275,0.01212531
272,1.98375,0.01134735
273,0.3769125,0.01224312
274,0.39675,0.00988746
275,0.251275,0.0121185
276,0.304176,0.01020298
277,0.66125,0.01012989
278,1.256375,0.01309353
279,0.529,0.0100083
280,0.13225,0.00746395
281,0.08,0.00940278
282,0.10925,0.00813807
284,0.1256375,0.0119758
286,0.251275,0.01211926
287,0.1256375,0.01197429
288,0.92575,0.0103746
289,2.0,0.01236471
290,0.251275,0.01212228
291,0.1256375,0.01197882
292,0.1444836,0.0124114
293,8.3800488,0.02094224
294,0.0,0.00969883
295,4.200171086,0.00879727
296,0.1256375,0.01198034
297,0.0,0.00819938
298,0.5779344,0.01172373
299,0.0,0.01243137
300,0.001730129,0.01356113
301,0.0,0.01218881
302,0.0,0.0114995
303,0.0,0.01810177
304,0.0,0.01513953
305,0.0,0.00290831
306,0.0,0.00338763
307,0.4334508,0.01268174
308,0.025,0.00132304
309,0.000868667,0.01481059
310,0.2645,0.00976435
311,0.6,0.01052227
312,0.0,0.00602195
313,0.13225,0.0074647
314,0.005595603,0.00132304
315,14.999999998,0.02790116
316,0.0,0.00309921
317,2.116,0.01146895
318,0.0,0.01016291
319,6.799999999,0.02507261
320,0.152585,0.00132304
322,6.0,0.0028375
323,0.2,0.00835096
324,2.801011766,0.0119707
325,0.0,0.00166212
326,1.19025,0.01061714
327,0.0,0.00132306
328,0.1256375,0.01197593
329,0.00302168,0.00135535
330,0.02934,0.00132337
331,2.044626042,0.00132337
332,0.026824688,0.00132457
333,0.02078451,0.00132479
334,0.03513686,0.001325
335,1.48,0.00133133
336,0.017596423,0.00133477
337,0.030340624,0.00133585
338,0.00415143,0.0013439
339,0.00880326,0.0013439
340,0.01837828,0.0013439
341,0.005073193,0.0013439
342,0.00176073,0.0013439
343,0.27,0.0013439
344,0.0278818,0.0013439
345,0.04121508,0.0013439
346,0.02497,0.0013439
347,0.014457418,0.0013439
348,0.05275,0.0013439
349,0.0146824,0.0013649
350,0.0447523,0.0013649
351,0.00537192,0.0013649
352,0.0417,0.00136493
353,0.243,0.00136493
354,0.147,0.0013859
355,0.012571725,0.0013859
356,0.004611,0.0013859
357,0.00392895,0.001386
358,0.01371599,0.00143327
359,0.012544476,0.00143327
360,1.464894,0.001533
361,0.00144452,0.00157764
362,1.183813,0.00157764
363,0.0,0.00293475
364,0.0,0.00293922
365,0.0,0.00291616
366,0.011911263,0.00132337
367,0.08,0.0100677
368,0.251275,0.00997466
369,0.0,0.00310153
370,0.0,0.01070266
371,1.95,0.00283823
372,0.2645,0.00976769
373,0.753825,0.01261047
374,0.0,0.03680019
375,0.0,0.00217564
376,0.0,0.00232815
377,0.0,0.00279267
378,0.0,0.00252926
379,0.0,0.00350269
380,0.0,0.11650449
381,0.0,0.00191684
382,0.0,0.00362433
